City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
303,karwar,14.8,74.1333,27.51,86,98,4.44,IN,06-21-2024
304,kuvshinovo,57.0295,34.1725,13.3,75,76,2.47,RU,06-21-2024
305,tsiombe,-25.3,45.4833,20.14,82,5,5.21,MG,06-21-2024
306,yangchun,22.1667,111.7833,26.04,95,100,0.98,CN,06-21-2024
307,titel,45.2061,20.2944,28.06,57,1,3.1,RS,06-21-2024
308,minas de marcona,-15.2119,-75.1103,14.45,77,11,6.44,PE,06-21-2024
309,chaksu,26.6,75.95,28.51,46,100,3.33,IN,06-21-2024
310,dogondoutchi,13.6393,4.0287,32.62,38,100,1.26,NE,06-21-2024
311,dryden,49.7833,-92.7503,24.16,41,40,2.06,CA,06-21-2024
312,inirida,3.8653,-67.9239,25.64,95,99,1.32,CO,06-21-2024
313,arendal,58.4615,8.7725,12.89,81,90,1.56,NO,06-21-2024
314,tazacorte,28.629,-17.9293,20.54,79,75,6.69,ES,06-21-2024
315,kone,-21.0595,164.8658,22.55,60,100,2.29,NC,06-21-2024
316,leh,34.1667,77.5833,6.64,78,94,1.95,IN,06-21-2024
317,si satchanalai,17.5169,99.7598,27.17,85,100,0.02,TH,06-21-2024
318,mahina,-17.5065,-149.489,27.87,61,20,7.2,PF,06-21-2024
319,korkut,38.7391,41.7822,18.46,52,0,1.24,TR,06-21-2024
320,alice springs,-23.7,133.8833,5.75,93,0,2.06,AU,06-21-2024
321,fort st. john,56.2499,-120.8529,23.94,29,20,1.03,CA,06-21-2024
322,katabu,-4.9333,122.5167,23.87,89,73,1.8,ID,06-21-2024
323,tucuma,-0.1833,-50.05,25.9,85,39,3.58,BR,06-21-2024
324,dosso,13.049,3.1937,33.34,44,95,3.24,NE,06-21-2024
325,safford,32.834,-109.7076,36.51,34,0,8.23,US,06-21-2024
326,belmonte,-15.8631,-38.8828,23.73,77,22,3.53,BR,06-21-2024
327,bastia,42.6667,9.3333,22.39,72,0,1.03,FR,06-21-2024
328,al jawf,29.5,38.75,30.55,16,24,6.23,SA,06-21-2024
329,tomatlan,19.9333,-105.25,30.02,63,96,4.53,MX,06-21-2024
330,bengkulu,-3.8004,102.2655,24.42,87,100,3.62,ID,06-21-2024
331,wenchang,30.904,118.4887,25.86,92,100,2.41,CN,06-21-2024
332,langsa,4.4683,97.9683,22.48,98,100,0.68,ID,06-21-2024
333,vanino,49.0869,140.2543,8.57,94,100,2.68,RU,06-21-2024
334,sarkand,45.41,79.9186,23.49,34,95,2.97,KZ,06-21-2024
335,nyagan,62.1406,65.3936,14.71,91,78,2.56,RU,06-21-2024
336,korla,41.7597,86.1469,25.83,24,3,1.4,CN,06-21-2024
337,greymouth,-42.4667,171.2,7.34,90,100,3.0,NZ,06-21-2024
338,taro,-8.3862,115.28,23.0,98,87,0.19,ID,06-21-2024
339,farafangana,-22.8167,47.8333,19.68,84,19,1.31,MG,06-21-2024
340,phan rang-thap cham,11.5667,108.9833,25.02,91,100,1.24,VN,06-21-2024
341,acajutla,13.5928,-89.8275,23.83,93,100,2.14,SV,06-21-2024
342,shahrak,34.1074,64.3052,13.11,40,5,1.58,AF,06-21-2024
343,znamenskoye,57.1281,73.8282,15.55,99,98,2.48,RU,06-21-2024
344,itaituba,-4.2761,-55.9836,32.09,55,20,2.06,BR,06-21-2024
345,skoghall,59.3232,13.4655,14.31,72,73,2.06,SE,06-21-2024
346,pyapon,16.2833,95.6833,26.07,92,100,3.11,MM,06-21-2024
